ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T14:47:35.588,242025.7785055,exp_20260717_144726,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784314055.5892286,1784314055.5900931,0.0008645057678222656,,,0,0,0
2026-07-17T14:47:35.594,242025.7841426,exp_20260717_144726,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7860518097877502,0.21875,0.12209302325581396,0.21875,0.15671641791044777,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784314055.5948439,1784314057.1375885,1.5427446365356445,1.5427446365356445,,0,0,0
2026-07-17T14:47:37.138,242027.3280289,exp_20260717_144726,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,921ae5368428d272a8498b1e64f55cfca01d95db5b7b1335c614ef0b43643c04,1,1,,,1784314057.1386037,1784314057.2389925,0.10038876533508301,,0.10038876533508301,0,0,0
2026-07-17T14:47:39.913,242030.1035819,exp_20260717_144726,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784314059.91426,1784314059.9148364,0.0005764961242675781,,,0,0,0
2026-07-17T14:47:39.916,242030.1061184,exp_20260717_144726,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7761510610580444,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784314059.9167871,1784314060.2089238,0.29213666915893555,0.29213666915893555,,0,0,0
2026-07-17T14:47:40.209,242030.399543,exp_20260717_144726,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,838144d943155b7f8c71ab154e15abe1f241e986a5c54c4d42a3244cf05389aa,1,1,,,1784314060.2101147,1784314060.3103645,0.1002497673034668,,0.1002497673034668,0,0,0
2026-07-17T14:47:42.080,242032.2696652,exp_20260717_144726,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784314062.0806057,1784314062.081704,0.0010981559753417969,,,0,0,0
2026-07-17T14:47:42.082,242032.2722151,exp_20260717_144726,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7372726202011108,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784314062.08277,1784314062.3750744,0.29230427742004395,0.29230427742004395,,0,0,0
2026-07-17T14:47:42.376,242032.5657631,exp_20260717_144726,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b874191b3c294581579728fe1556fc5698d0b1a1e4181549a85912f140752f0e,1,1,,,1784314062.3763573,1784314062.4766066,0.1002492904663086,,0.1002492904663086,0,0,0
2026-07-17T14:47:44.154,242034.3437207,exp_20260717_144726,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784314064.1543255,1784314064.154712,0.0003864765167236328,,,0,0,0
2026-07-17T14:47:44.156,242034.3458254,exp_20260717_144726,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8433284163475037,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784314064.1564283,1784314064.4513428,0.29491448402404785,0.29491448402404785,,0,0,0
2026-07-17T14:47:44.452,242034.6418208,exp_20260717_144726,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,050f26f9e0a441d1673ce4b819a1c783157d01ad93f32b2eff2f7bba9eaf89f9,1,1,,,1784314064.4524338,1784314064.5528572,0.10042333602905273,,0.10042333602905273,0,0,0
2026-07-17T14:47:46.070,242036.2605009,exp_20260717_144726,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784314066.071233,1784314066.0716124,0.00037932395935058594,,,0,0,0
2026-07-17T14:47:46.072,242036.2620786,exp_20260717_144726,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.91336590051651,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784314066.0726979,1784314066.3610816,0.28838372230529785,0.28838372230529785,,0,0,0
