ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T16:47:30.954,422020.1940889,exp_20260719_164721,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784494050.955494,1784494050.9569964,0.0015025138854980469,,,0,0,0
2026-07-19T16:47:30.966,422020.2058346,exp_20260719_164721,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7920365929603577,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784494050.9666486,1784494052.5164816,1.549833059310913,1.549833059310913,,0,0,0
2026-07-19T16:47:32.517,422021.756605,exp_20260719_164721,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d71a423a9ddc0cb0aa79fbbafc64ce929ea23ae75c11d0e7f64e8d916c334728,1,1,,,1784494052.5173879,1784494052.6176136,0.10022568702697754,,0.10022568702697754,0,0,0
2026-07-19T16:47:35.094,422024.3339615,exp_20260719_164721,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784494055.0948124,1784494055.095327,0.0005145072937011719,,,0,0,0
2026-07-19T16:47:35.096,422024.3362941,exp_20260719_164721,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8176464438438416,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784494055.0972695,1784494055.3877625,0.2904930114746094,0.2904930114746094,,0,0,0
2026-07-19T16:47:35.388,422024.6279986,exp_20260719_164721,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,dc708b975db7aa2dedd4ec6b449707debf6ddadc7800c1ab423a2544d737af55,1,1,,,1784494055.388829,1784494055.4890318,0.10020279884338379,,0.10020279884338379,0,0,0
2026-07-19T16:47:37.165,422026.4045577,exp_20260719_164721,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784494057.1653945,1784494057.1657057,0.00031113624572753906,,,0,0,0
2026-07-19T16:47:37.166,422026.406315,exp_20260719_164721,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7405486106872559,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784494057.1672606,1784494057.4757276,0.30846691131591797,0.30846691131591797,,0,0,0
2026-07-19T16:47:37.477,422026.7163479,exp_20260719_164721,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,2153aa8a5dedee5a97843eb30921dab3f9688c2a70b5c7a91107532adc497657,1,1,,,1784494057.4771903,1784494057.5777829,0.10059261322021484,,0.10059261322021484,0,0,0
2026-07-19T16:47:39.119,422028.3592329,exp_20260719_164721,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784494059.120565,1784494059.1216698,0.0011048316955566406,,,0,0,0
