ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T15:50:51.619,245821.7924236,exp_20260717_155042,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784317851.6196604,1784317851.62116,0.0014996528625488281,,,0,0,0
2026-07-17T15:50:51.630,245821.8035076,exp_20260717_155042,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7981401681900024,0.265625,0.0824353448275862,0.265625,0.12582236842105263,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784317851.6306944,1784317853.1760604,1.5453660488128662,1.5453660488128662,,0,0,0
2026-07-17T15:50:53.176,245823.3499987,exp_20260717_155042,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,08c991f4e64f402155d990e9b8fcc629295ff1ed849fabfb53cd1f3e7e031413,1,1,,,1784317853.1769228,1784317853.2774396,0.10051679611206055,,0.10051679611206055,0,0,0
2026-07-17T15:50:55.825,245825.9983807,exp_20260717_155042,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784317855.825777,1784317855.8268716,0.0010945796966552734,,,0,0,0
2026-07-17T15:50:55.828,245826.0019642,exp_20260717_155042,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8221095204353333,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784317855.828981,1784317856.121864,0.29288315773010254,0.29288315773010254,,0,0,0
2026-07-17T15:50:56.122,245826.2959282,exp_20260717_155042,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,733e46cb4236816745ae2740d26523de4467d2db70e99346a9be6dfc5d98ab13,1,1,,,1784317856.1228917,1784317856.2232783,0.1003866195678711,,0.1003866195678711,0,0,0
2026-07-17T15:50:57.889,245828.0631305,exp_20260717_155042,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784317857.8900797,1784317857.8903852,0.00030541419982910156,,,0,0,0
2026-07-17T15:50:57.891,245828.0644834,exp_20260717_155042,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7958945631980896,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784317857.8916554,1784317858.1878097,0.296154260635376,0.296154260635376,,0,0,0
2026-07-17T15:50:58.188,245828.3620174,exp_20260717_155042,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,50e60df2139fdada9f065d7cd64c596a9889a7526c4861b3db7d0025d7ec264e,1,1,,,1784317858.1890018,1784317858.2895577,0.1005558967590332,,0.1005558967590332,0,0,0
2026-07-17T15:50:59.706,245829.8797023,exp_20260717_155042,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784317859.706987,1784317859.7080226,0.0010356903076171875,,,0,0,0
