ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T16:26:12.906,247943.0707223,exp_20260717_162551,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319972.9071007,1784319972.9084954,0.0013947486877441406,,,0,0,0
2026-07-17T16:26:12.912,247943.076815,exp_20260717_162551,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.828038215637207,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319972.9131157,1784319974.4537637,1.5406479835510254,1.5406479835510254,,0,0,0
2026-07-17T16:26:14.454,247944.6188403,exp_20260717_162551,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f6b401b2829f8f6f3f9f72ebb4b46e9e5c589c837054781cc023a3a537dde94e,1,1,,,1784319974.4549146,1784319974.5554085,0.1004939079284668,,0.1004939079284668,0,0,0
2026-07-17T16:26:17.262,247947.4261373,exp_20260717_162551,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319977.2625282,1784319977.263635,0.0011067390441894531,,,0,0,0
2026-07-17T16:26:17.265,247947.42947,exp_20260717_162551,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.836783230304718,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319977.2655501,1784319977.5567958,0.291245698928833,0.291245698928833,,0,0,0
2026-07-17T16:26:17.557,247947.72183,exp_20260717_162551,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d0f8e0ef1cb8d12daa2d251b2760272604dd9214e261c0c194050884266415e8,1,1,,,1784319977.557889,1784319977.658286,0.10039710998535156,,0.10039710998535156,0,0,0
2026-07-17T16:26:19.315,247949.4798819,exp_20260717_162551,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319979.3160334,1784319979.3164089,0.00037550926208496094,,,0,0,0
2026-07-17T16:26:19.317,247949.4820092,exp_20260717_162551,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8198990225791931,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319979.318231,1784319979.612349,0.29411792755126953,0.29411792755126953,,0,0,0
2026-07-17T16:26:19.613,247949.7773556,exp_20260717_162551,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,83c091bee20f4524d561c487e2cce7cb2737006561b69434bb7699be70135c34,1,1,,,1784319979.6134543,1784319979.7138135,0.10035920143127441,,0.10035920143127441,0,0,0
2026-07-17T16:26:21.350,247951.5144779,exp_20260717_162551,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319981.350823,1784319981.3511658,0.0003428459167480469,,,0,0,0
2026-07-17T16:26:21.352,247951.5161125,exp_20260717_162551,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.863230586051941,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319981.3521707,1784319981.6304846,0.27831387519836426,0.27831387519836426,,0,0,0
2026-07-17T16:26:21.631,247951.7954801,exp_20260717_162551,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,87ca2dd4435c231e16538be6f4b16df34832b84fe1ab033ef958cae17b9a46e3,1,1,,,1784319981.6316152,1784319981.7322283,0.10061311721801758,,0.10061311721801758,0,0,0
2026-07-17T16:26:23.241,247953.4058208,exp_20260717_162551,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319983.242185,1784319983.2431176,0.0009324550628662109,,,0,0,0
2026-07-17T16:26:23.244,247953.4088945,exp_20260717_162551,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8968039751052856,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319983.2449675,1784319983.5419848,0.29701733589172363,0.29701733589172363,,0,0,0
2026-07-17T16:26:23.543,247953.7071612,exp_20260717_162551,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e727a0d7bf65ac3dd4c8518c516a6b165686cd6cc2022d90557c06d42ec1c36a,1,1,,,1784319983.543283,1784319983.6439407,0.10065770149230957,,0.10065770149230957,0,0,0
2026-07-17T16:26:25.152,247955.3170773,exp_20260717_162551,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784319985.153484,1784319985.1543477,0.0008635520935058594,,,0,0,0
2026-07-17T16:26:25.155,247955.319382,exp_20260717_162551,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9175784587860107,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784319985.155525,1784319985.4492476,0.29372262954711914,0.29372262954711914,,0,0,0
2026-07-17T16:26:25.450,247955.6143943,exp_20260717_162551,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,116d307b965c54a79137b45b7ee13febca6f2196a6879005dc889d3ffa3f7447,1,1,,,1784319985.4505699,1784319985.5509336,0.10036373138427734,,0.10036373138427734,0,0,0
