ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T20:09:18.829,606927.1119127,exp_20260721_200918,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678958.8293438,1784678958.8297062,0.000362396240234375,,,0,0,0
2026-07-21T20:09:18.830,606927.1136081,exp_20260721_200918,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8286128044128418,0.09375,0.0675,0.09375,0.07848837209302326,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678958.8309784,1784678960.4394913,1.6085128784179688,1.6085128784179688,,0,0,0
2026-07-21T20:09:20.440,606928.7233857,exp_20260721_200918,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,daaadd96d8e8e4bba7e52b3737cbe33afc0edbc063a57d6909c831feeacf2bb1,1,1,,,1784678960.440846,1784678960.5411901,0.10034418106079102,,0.10034418106079102,0,0,0
2026-07-21T20:09:22.851,606931.1339002,exp_20260721_200918,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678962.851618,1784678962.8527255,0.0011074542999267578,,,0,0,0
2026-07-21T20:09:22.853,606931.1365069,exp_20260721_200918,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8607221841812134,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678962.853893,1784678963.148095,0.2942018508911133,0.2942018508911133,,0,0,0
2026-07-21T20:09:23.148,606931.4315813,exp_20260721_200918,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,cebbbc368a6b4218ce6a5ab8a65f7610f505ba3300b730e7fe5949fb9266bafb,1,1,,,1784678963.1490247,1784678963.2493272,0.10030245780944824,,0.10030245780944824,0,0,0
2026-07-21T20:09:24.882,606933.16513,exp_20260721_200918,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678964.8828273,1784678964.883455,0.0006277561187744141,,,0,0,0
2026-07-21T20:09:24.884,606933.1670877,exp_20260721_200918,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7807614207267761,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678964.884469,1784678965.1787229,0.2942538261413574,0.2942538261413574,,0,0,0
2026-07-21T20:09:25.179,606933.4624358,exp_20260721_200918,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,96572cade3b08ac18c79b8e67578cb8af8f4a2c4f812b7326749baaaacd89041,1,1,,,1784678965.1798863,1784678965.2803488,0.10046243667602539,,0.10046243667602539,0,0,0
2026-07-21T20:09:26.936,606935.2192205,exp_20260721_200918,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678966.936657,1784678966.936953,0.0002961158752441406,,,0,0,0
2026-07-21T20:09:26.937,606935.2204526,exp_20260721_200918,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8505700826644897,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678966.9378338,1784678967.2246876,0.2868537902832031,0.2868537902832031,,0,0,0
2026-07-21T20:09:27.225,606935.5082973,exp_20260721_200918,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1d80b015ad325a45fbb977a5b6b1c92592c427a8e52997be6e78604a4f1c315c,1,1,,,1784678967.2257504,1784678967.3260736,0.10032320022583008,,0.10032320022583008,0,0,0
2026-07-21T20:09:28.808,606937.090993,exp_20260721_200918,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678968.8086982,1784678968.8096445,0.0009462833404541016,,,0,0,0
2026-07-21T20:09:28.812,606937.0950528,exp_20260721_200918,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8925330638885498,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678968.8127267,1784678969.113397,0.30067014694213867,0.30067014694213867,,0,0,0
2026-07-21T20:09:29.114,606937.3970473,exp_20260721_200918,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f38c0d4756942c296897550e93156c67022e7cd68172a2a23f4823ee56bb0e36,1,1,,,1784678969.1145148,1784678969.214793,0.10027813911437988,,0.10027813911437988,0,0,0
2026-07-21T20:09:30.809,606939.0924224,exp_20260721_200918,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678970.8101366,1784678970.810814,0.0006773471832275391,,,0,0,0
2026-07-21T20:09:30.811,606939.0944279,exp_20260721_200918,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9211629033088684,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678970.81184,1784678971.0956693,0.2838292121887207,0.2838292121887207,,0,0,0
2026-07-21T20:09:31.096,606939.3791756,exp_20260721_200918,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,858ec865a665cbf90db0d5b195da13ea7665b9a2f2dc72027545ed01e905d284,1,1,,,1784678971.096663,1784678971.1971538,0.10049080848693848,,0.10049080848693848,0,0,0
