ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T20:26:21.451,607949.7301569,exp_20260721_202621,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784679981.452331,1784679981.4527254,0.0003943443298339844,,,0,0,0
2026-07-21T20:26:21.453,607949.7320138,exp_20260721_202621,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8538793325424194,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784679981.4539192,1784679983.164052,1.7101328372955322,1.7101328372955322,,0,0,0
2026-07-21T20:26:23.165,607951.4434755,exp_20260721_202621,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,c59f0f1fa209fa51bdeaf96db5d436bf1dfe35ad14db285d3ef9a8169ecddd58,1,1,,,1784679983.1656127,1784679983.2659478,0.10033512115478516,,0.10033512115478516,0,0,0
2026-07-21T20:26:25.601,607953.8801732,exp_20260721_202621,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784679985.6021397,1784679985.602569,0.00042939186096191406,,,0,0,0
2026-07-21T20:26:25.603,607953.88197,exp_20260721_202621,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8876333832740784,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784679985.6038852,1784679985.8909776,0.2870924472808838,0.2870924472808838,,0,0,0
2026-07-21T20:26:25.891,607954.1701719,exp_20260721_202621,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,834c1a3b4ea84c62a878abed1af63b2f89cf1be8ee22cae56f2e0d4a7a4c5098,1,1,,,1784679985.89213,1784679985.9928322,0.10070228576660156,,0.10070228576660156,0,0,0
2026-07-21T20:26:27.678,607955.9567874,exp_20260721_202621,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784679987.678707,1784679987.6790175,0.00031065940856933594,,,0,0,0
2026-07-21T20:26:27.679,607955.9581124,exp_20260721_202621,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8122676610946655,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784679987.6799917,1784679987.9699883,0.2899966239929199,0.2899966239929199,,0,0,0
2026-07-21T20:26:27.971,607956.2492634,exp_20260721_202621,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7df5d97b27a0a0c5452b9037041663440eb6f2bc2309155dd9d215ae3dbc2e11,1,1,,,1784679987.9712174,1784679988.0715973,0.10037994384765625,,0.10037994384765625,0,0,0
2026-07-21T20:26:29.712,607957.9908544,exp_20260721_202621,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784679989.7130618,1784679989.7133777,0.0003159046173095703,,,0,0,0
