ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T19:55:16.376,606084.6633465,exp_20260721_195452,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678116.3772514,1784678116.3776681,0.00041675567626953125,,,0,0,0
2026-07-21T19:55:16.386,606084.6725724,exp_20260721_195452,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8300316333770752,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678116.3863156,1784678117.9454143,1.559098720550537,1.559098720550537,,0,0,0
2026-07-21T19:55:17.946,606086.2326436,exp_20260721_195452,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,0678e9a7213489a5998813b2d10768d878e4960e1c129eba9520dc2002996d22,1,1,,,1784678117.9463425,1784678118.0466428,0.10030031204223633,,0.10030031204223633,0,0,0
2026-07-21T19:55:20.482,606088.7690382,exp_20260721_195452,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678120.48306,1784678120.4840178,0.0009579658508300781,,,0,0,0
2026-07-21T19:55:20.486,606088.773103,exp_20260721_195452,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8652511239051819,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678120.4870455,1784678120.7821183,0.2950727939605713,0.2950727939605713,,0,0,0
2026-07-21T19:55:20.782,606089.0693811,exp_20260721_195452,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,6ed3b02f3db4beb9a09c076289f41eec55fec77fc7213350e7d9760c5f843310,1,1,,,1784678120.7831006,1784678120.8835976,0.10049700736999512,,0.10049700736999512,0,0,0
2026-07-21T19:55:22.399,606090.6856144,exp_20260721_195452,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678122.3993556,1784678122.3996236,0.00026798248291015625,,,0,0,0
2026-07-21T19:55:22.400,606090.6868076,exp_20260721_195452,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8190119862556458,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784678122.4004645,1784678122.6961253,0.29566073417663574,0.29566073417663574,,0,0,0
2026-07-21T19:55:22.696,606090.9833172,exp_20260721_195452,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,a954d5424e23dde7714721305df4ee56f58abab6958fa0637df6498d62d5714a,1,1,,,1784678122.6970456,1784678122.797337,0.10029149055480957,,0.10029149055480957,0,0,0
2026-07-21T19:55:24.379,606092.6660596,exp_20260721_195452,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784678124.3797941,1784678124.3800755,0.00028133392333984375,,,0,0,0
