ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T16:23:44.520,593392.8889741,exp_20260721_162344,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784665424.5204298,1784665424.5210834,0.0006535053253173828,,,0,0,0
2026-07-21T16:23:44.523,593392.8922137,exp_20260721_162344,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8660221099853516,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784665424.5235395,1784665426.1765985,1.6530590057373047,1.6530590057373047,,0,0,0
2026-07-21T16:23:46.177,593394.54652,exp_20260721_162344,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d3d7c9a858275fc0c72eccd7982ba2274571f29be4356813543d8cfeb5575cbd,1,1,,,1784665426.1778574,1784665426.278468,0.10061049461364746,,0.10061049461364746,0,0,0
2026-07-21T16:23:48.819,593397.188187,exp_20260721_162344,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784665428.8197987,1784665428.8202367,0.0004379749298095703,,,0,0,0
2026-07-21T16:23:48.821,593397.1898586,exp_20260721_162344,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8774155378341675,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784665428.82111,1784665429.091137,0.27002692222595215,0.27002692222595215,,0,0,0
2026-07-21T16:23:49.092,593397.461003,exp_20260721_162344,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,fbc3a6038b6bbe16d8095d84d219d2cccffc117f0b9429bf50e7f5d4f523eec6,1,1,,,1784665429.0923452,1784665429.192588,0.10024285316467285,,0.10024285316467285,0,0,0
2026-07-21T16:23:50.864,593399.2334113,exp_20260721_162344,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784665430.8649843,1784665430.8658476,0.0008633136749267578,,,0,0,0
2026-07-21T16:23:50.866,593399.2355459,exp_20260721_162344,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8664262294769287,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784665430.866819,1784665431.1525831,0.285764217376709,0.285764217376709,,0,0,0
2026-07-21T16:23:51.153,593399.5222061,exp_20260721_162344,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f98a5b8861e02bac41be27ea35d532e4e7ca81327283456360a89992f82bb515,1,1,,,1784665431.1535447,1784665431.254105,0.10056042671203613,,0.10056042671203613,0,0,0
2026-07-21T16:23:52.842,593401.2111547,exp_20260721_162344,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784665432.8427703,1784665432.8438,0.0010297298431396484,,,0,0,0
