ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T12:59:37.018,235547.2492206,exp_20260717_125846,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784307577.0191975,1784307577.0205855,0.0013880729675292969,,,0,0,0
2026-07-17T12:59:37.027,235547.2584208,exp_20260717_125846,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.797780692577362,0.28125,0.08165322580645162,0.28125,0.1265625,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784307577.0279114,1784307578.563964,1.5360524654388428,1.5360524654388428,,0,0,0
2026-07-17T12:59:38.564,235548.7955694,exp_20260717_125846,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d0c0f7656e62bb2286eb33dd43effd1dd3027193912d94d4ef4c0276b01e9554,1,1,,,1784307578.5650456,1784307578.665248,0.10020232200622559,,0.10020232200622559,0,0,0
2026-07-17T12:59:41.443,235551.6743971,exp_20260717_125846,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784307581.4442277,1784307581.44533,0.0011022090911865234,,,0,0,0
2026-07-17T12:59:41.446,235551.6772865,exp_20260717_125846,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8141970038414001,0.015625,0.05625,0.015625,0.024456521739130432,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784307581.4467032,1784307581.7387857,0.2920825481414795,0.2920825481414795,,0,0,0
2026-07-17T12:59:41.739,235551.9704925,exp_20260717_125846,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,287a60e3bb2bf970e3c7717935b4470667699e3c48b8fee0176085ea5a9d899b,1,1,,,1784307581.73996,1784307581.8401613,0.10020136833190918,,0.10020136833190918,0,0,0
2026-07-17T12:59:43.446,235553.677408,exp_20260717_125846,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784307583.4468968,1784307583.4472914,0.00039458274841308594,,,0,0,0
2026-07-17T12:59:43.448,235553.679644,exp_20260717_125846,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8351799845695496,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784307583.449143,1784307583.7511752,0.3020322322845459,0.3020322322845459,,0,0,0
2026-07-17T12:59:43.752,235553.9828999,exp_20260717_125846,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f64ca65a104951e08a1667671f719807d51190d91bf8bb040bd2058542e4dd02,1,1,,,1784307583.752374,1784307583.8528883,0.10051441192626953,,0.10051441192626953,0,0,0
2026-07-17T12:59:45.341,235555.572555,exp_20260717_125846,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784307585.3420131,1784307585.342335,0.0003218650817871094,,,0,0,0
