ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T11:54:19.320,231629.5679453,exp_20260717_115335,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303659.3205965,1784303659.3210292,0.00043272972106933594,,,0,0,0
2026-07-17T11:54:19.328,231629.5758028,exp_20260717_115335,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8451142311096191,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303659.3283947,1784303660.864927,1.5365324020385742,1.5365324020385742,,0,0,0
2026-07-17T11:54:20.865,231631.1132386,exp_20260717_115335,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f3ddc59913efe6ddd3646dc0a495d7b111f8c071f531013232f1bf021d3d5dfc,1,1,,,1784303660.865867,1784303660.9664612,0.10059428215026855,,0.10059428215026855,0,0,0
2026-07-17T11:54:23.552,231633.8004247,exp_20260717_115335,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303663.5535235,1784303663.5548065,0.0012829303741455078,,,0,0,0
2026-07-17T11:54:23.555,231633.8035144,exp_20260717_115335,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9265652298927307,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303663.5561364,1784303663.8485978,0.2924613952636719,0.2924613952636719,,0,0,0
2026-07-17T11:54:23.849,231634.0969335,exp_20260717_115335,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f5cd0e9afdf676d50803888bd38ae323dcc65fc65e5bf3fecd23ca2c80aa0ff4,1,1,,,1784303663.8495364,1784303663.9501922,0.10065579414367676,,0.10065579414367676,0,0,0
2026-07-17T11:54:25.569,231635.8170907,exp_20260717_115335,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303665.5699863,1784303665.5710413,0.001055002212524414,,,0,0,0
2026-07-17T11:54:25.574,231635.8215986,exp_20260717_115335,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.903346598148346,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303665.57477,1784303665.8764808,0.301710844039917,0.301710844039917,,0,0,0
2026-07-17T11:54:25.877,231636.1249872,exp_20260717_115335,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8907f4d4eba8129b6c78d01ca443f834dcb62dcb422596b1736ee5582ffdb4ad,1,1,,,1784303665.877584,1784303665.9782505,0.10066652297973633,,0.10066652297973633,0,0,0
2026-07-17T11:54:27.529,231637.7771557,exp_20260717_115335,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303667.5297632,1784303667.530072,0.00030875205993652344,,,0,0,0
2026-07-17T11:54:27.531,231637.7786327,exp_20260717_115335,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8397545218467712,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303667.5313184,1784303667.8297572,0.29843878746032715,0.29843878746032715,,0,0,0
2026-07-17T11:54:27.830,231638.0780419,exp_20260717_115335,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,94928706eaba5a597616a6dae601cfa4e3a160a0ccacbbe27aaaa79b2ee12c9e,1,1,,,1784303667.8306541,1784303667.9311962,0.10054206848144531,,0.10054206848144531,0,0,0
2026-07-17T11:54:29.268,231639.5160313,exp_20260717_115335,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303669.2692595,1784303669.270327,0.0010676383972167969,,,0,0,0
2026-07-17T11:54:29.272,231639.5197265,exp_20260717_115335,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8614436984062195,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303669.2723851,1784303669.568067,0.2956819534301758,0.2956819534301758,,0,0,0
2026-07-17T11:54:29.568,231639.8165191,exp_20260717_115335,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8b70b85f1c94a3e46f1c69f91eebe9d4aca0e87518ae3ab82794f873ce4e0e54,1,1,,,1784303669.5691724,1784303669.6697197,0.10054731369018555,,0.10054731369018555,0,0,0
2026-07-17T11:54:31.091,231641.3393987,exp_20260717_115335,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784303671.0922985,1784303671.09332,0.0010213851928710938,,,0,0,0
2026-07-17T11:54:31.096,231641.3442066,exp_20260717_115335,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.87162584066391,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784303671.097134,1784303671.4002385,0.3031044006347656,0.3031044006347656,,0,0,0
