ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T17:31:10.505,424639.7299272,exp_20260719_173101,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784496670.5057065,1784496670.506125,0.0004184246063232422,,,0,0,0
2026-07-19T17:31:10.515,424639.7398439,exp_20260719_173101,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.820798635482788,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784496670.5155542,1784496672.0812345,1.5656802654266357,1.5656802654266357,,0,0,0
2026-07-19T17:31:12.081,424641.3064435,exp_20260719_173101,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,594651cfc9f0c1871d7650bc30568d62c39bf42846784f13df2b033db493bad1,1,1,,,1784496672.0821385,1784496672.1826427,0.10050415992736816,,0.10050415992736816,0,0,0
2026-07-19T17:31:14.650,424643.8751795,exp_20260719_173101,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784496674.6512501,1784496674.6522846,0.0010344982147216797,,,0,0,0
2026-07-19T17:31:14.655,424643.8795352,exp_20260719_173101,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8485796451568604,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784496674.6555476,1784496674.9484098,0.2928621768951416,0.2928621768951416,,0,0,0
2026-07-19T17:31:14.949,424644.1737028,exp_20260719_173101,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8b6a1c04ea11223b28ccbb74493b23d1f87421d17077db0ee67d5bdcf8137aad,1,1,,,1784496674.9494555,1784496675.049742,0.10028648376464844,,0.10028648376464844,0,0,0
2026-07-19T17:31:16.606,424645.8309817,exp_20260719_173101,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784496676.6068547,1784496676.6071994,0.0003447532653808594,,,0,0,0
2026-07-19T17:31:16.608,424645.8326035,exp_20260719_173101,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7723833918571472,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784496676.6083362,1784496676.9039621,0.2956259250640869,0.2956259250640869,,0,0,0
2026-07-19T17:31:16.904,424646.1293562,exp_20260719_173101,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,91e693f647ce76a73008723dee9e680af9d7f7dcc0f69c58f17345523edeb136,1,1,,,1784496676.9051025,1784496677.0056937,0.10059118270874023,,0.10059118270874023,0,0,0
2026-07-19T17:31:18.734,424647.959116,exp_20260719_173101,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784496678.734914,1784496678.7353377,0.00042366981506347656,,,0,0,0
2026-07-19T17:31:18.736,424647.9612301,exp_20260719_173101,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8653994798660278,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784496678.7370706,1784496679.0287883,0.2917177677154541,0.2917177677154541,,0,0,0
