ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-22T20:35:04.945,680472.8490789,exp_20260722_163315,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.002340555191040039,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784752504.94341,1784752504.9457505,0.002340555191040039,,,,,,,,,,,0,0,0
2026-07-22T20:35:06.058,680473.9622489,exp_20260722_163315,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.139570713043213,0.17,0.14312333864965443,0.2041269841269841,0.1365827647804392,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784752504.946381,1784752506.0589633,1.1125822067260742,1.1125822067260742,1.045795202255249,0.05157780647277832,1,0.00099,1784752504.946381,1784752506.0589633,,,,0,0,0
2026-07-22T20:35:06.066,680473.9694486,exp_20260722_163315,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009095668792724609,127.0.0.1,10.42.0.195,10.42.0.195,8080,cd9a0bf986931faae438eff3a1650fadc97eb01e6c759e6e61c900e1f6ceb565,1,1,,,1784752506.0594673,1784752506.060377,0.0009095668792724609,,,,1,0.00099,1784752504.946381,1784752506.0589633,1784752506.066159,0.005780696868896484,0.0009095668792724609,0,0,0
2026-07-22T20:35:18.688,680486.5913999,exp_20260722_163315,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0013239383697509766,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784752518.686799,1784752518.688123,0.0013239383697509766,,,,,,,,,,,0,0,0
2026-07-22T20:35:19.792,680487.6958061,exp_20260722_163315,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.030705451965332,0.2,0.19341555183946488,0.19452380952380954,0.1388906234430531,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784752518.6888182,1784752519.7925656,1.1037473678588867,1.1037473678588867,1.0468895435333252,0.04277515411376953,1,0.0009801,1784752518.6888182,1784752519.7925656,,,,0,0,0
2026-07-22T20:35:19.800,680487.7040386,exp_20260722_163315,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008606910705566406,127.0.0.1,10.42.0.195,10.42.0.195,8080,b46e11248f5ee5e5a43f2bb2588ecfb7284f0f00170bde0d024a3817aaf3a4c9,1,1,,,1784752519.7931008,1784752519.7939615,0.0008606910705566406,,,,1,0.0009801,1784752518.6888182,1784752519.7925656,1784752519.8008077,0.006844758987426758,0.0008606910705566406,0,0,0
2026-07-22T20:35:29.030,680496.9331906,exp_20260722_163315,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012197494506835938,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784752529.0287423,1784752529.029962,0.0012197494506835938,,,,,,,,,,,0,0,0
2026-07-22T20:35:30.165,680498.0687449,exp_20260722_163315,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.018127202987671,0.21,0.25907589216144616,0.23300976800976797,0.18215728715728713,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784752529.0306706,1784752530.1655598,1.1348891258239746,1.1348891258239746,1.0623843669891357,0.04971003532409668,1,0.0009702990000000001,1784752529.0306706,1784752530.1655598,,,,0,0,0
2026-07-22T20:35:30.174,680498.0775622,exp_20260722_163315,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008742809295654297,127.0.0.1,10.42.0.195,10.42.0.195,8080,37887915ac0029131c7e030290955563748cb2ceda6b3f1ad40e997512b801de,1,1,,,1784752530.1661086,1784752530.166983,0.0008742809295654297,,,,1,0.0009702990000000001,1784752529.0306706,1784752530.1655598,1784752530.1743755,0.0073909759521484375,0.0008742809295654297,0,0,0
2026-07-22T20:35:39.958,680507.8617298,exp_20260722_163315,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0011982917785644531,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784752539.9573581,1784752539.9585564,0.0011982917785644531,,,,,,,,,,,0,0,0
