ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T14:44:23.822,587432.2284325,exp_20260721_144423,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659463.8223755,1784659463.8227384,0.0003628730773925781,,,0,0,0
2026-07-21T14:44:23.823,587432.2300866,exp_20260721_144423,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8374735116958618,0.015625,0.140625,0.015625,0.028125,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659463.8239985,1784659465.4398184,1.6158199310302734,1.6158199310302734,,0,0,0
2026-07-21T14:44:25.440,587433.8470757,exp_20260721_144423,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,a7d42a6786ba0299f2c2603ad70c8f2ae2520fe0a766ce78f96534d349fc87b0,1,1,,,1784659465.4410899,1784659465.5413842,0.10029435157775879,,0.10029435157775879,0,0,0
2026-07-21T14:44:27.883,587436.2899098,exp_20260721_144423,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659467.8843904,1784659467.8849487,0.0005583763122558594,,,0,0,0
2026-07-21T14:44:27.885,587436.2920157,exp_20260721_144423,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8696731328964233,0.015625,0.0703125,0.015625,0.02556818181818182,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659467.8859935,1784659468.1901834,0.30418992042541504,0.30418992042541504,,0,0,0
2026-07-21T14:44:28.190,587436.5970636,exp_20260721_144423,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1f63587c8f44b43dbcbdb239c02f5151ddcbbf9a29b64ad8ad02c66c244d050b,1,1,,,1784659468.191115,1784659468.2915525,0.10043764114379883,,0.10043764114379883,0,0,0
2026-07-21T14:44:29.818,587438.2250751,exp_20260721_144423,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659469.819374,1784659469.820069,0.0006949901580810547,,,0,0,0
2026-07-21T14:44:29.820,587438.2269892,exp_20260721_144423,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.757315218448639,0.046875,0.06490384615384616,0.046875,0.05443548387096774,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659469.8209395,1784659470.1214018,0.3004622459411621,0.3004622459411621,,0,0,0
2026-07-21T14:44:30.122,587438.5283136,exp_20260721_144423,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7264a97353fa3fee3e8f041e10df917fa4158aad4aca930d077483885ed9f31e,1,1,,,1784659470.1223419,1784659470.2225995,0.10025763511657715,,0.10025763511657715,0,0,0
2026-07-21T14:44:31.731,587440.1372296,exp_20260721_144423,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659471.7315412,1784659471.7318745,0.0003333091735839844,,,0,0,0
2026-07-21T14:44:31.732,587440.1388227,exp_20260721_144423,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7866898775100708,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659471.7328017,1784659472.0297053,0.2969036102294922,0.2969036102294922,,0,0,0
2026-07-21T14:44:32.030,587440.4367729,exp_20260721_144423,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,621b6ec5da8a3bce118eeffcf28754ff028307d47340653a1b01a74ecada7ec0,1,1,,,1784659472.030836,1784659472.131035,0.10019898414611816,,0.10019898414611816,0,0,0
2026-07-21T14:44:33.850,587442.2566234,exp_20260721_144423,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659473.8506706,1784659473.8509772,0.0003066062927246094,,,0,0,0
2026-07-21T14:44:33.851,587442.2579548,exp_20260721_144423,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8467075824737549,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659473.8519967,1784659474.147911,0.2959144115447998,0.2959144115447998,,0,0,0
2026-07-21T14:44:34.148,587442.5547515,exp_20260721_144423,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b44fb2747a6afa6c61ffa58eb3a5a72cf2a35ea98b4da4d9d5d8b8d1d0d0e6d4,1,1,,,1784659474.1489024,1784659474.2492485,0.10034608840942383,,0.10034608840942383,0,0,0
2026-07-21T14:44:35.965,587444.3720402,exp_20260721_144423,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784659475.9661827,1784659475.966642,0.0004591941833496094,,,0,0,0
2026-07-21T14:44:35.967,587444.3739051,exp_20260721_144423,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.917876422405243,0.015625,0.28125,0.015625,0.029605263157894735,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784659475.9679844,1784659476.2699692,0.3019847869873047,0.3019847869873047,,0,0,0
