ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T15:11:52.090,589080.4828258,exp_20260721_151151,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784661112.090422,1784661112.0908117,0.0003898143768310547,,,0,0,0
2026-07-21T15:11:52.092,589080.485482,exp_20260721_151151,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8234031200408936,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784661112.0930827,1784661113.7470446,1.6539618968963623,1.6539618968963623,,0,0,0
2026-07-21T15:11:53.747,589082.1403336,exp_20260721_151151,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1631e156eb1a9dc43f20e785ed8e578dc4300bb5fd69e1b8ced5ba224a81c868,1,1,,,1784661113.7479541,1784661113.84834,0.10038590431213379,,0.10038590431213379,0,0,0
2026-07-21T15:11:56.093,589084.4856146,exp_20260721_151151,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784661116.0935667,1784661116.0938692,0.0003025531768798828,,,0,0,0
2026-07-21T15:11:56.094,589084.4871942,exp_20260721_151151,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.856190800666809,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784661116.0947595,1784661116.4040244,0.3092648983001709,0.3092648983001709,,0,0,0
2026-07-21T15:11:56.404,589084.7975296,exp_20260721_151151,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,baf0daa43b29762adfa3e8a3829efe7b92a8c1fcb84cf0237d252cbc331610f5,1,1,,,1784661116.4051542,1784661116.5053954,0.10024118423461914,,0.10024118423461914,0,0,0
2026-07-21T15:11:58.013,589086.406479,exp_20260721_151151,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784661118.0144374,1784661118.015043,0.0006055831909179688,,,0,0,0
2026-07-21T15:11:58.015,589086.4083691,exp_20260721_151151,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8218583464622498,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784661118.0159698,1784661118.3178144,0.30184459686279297,0.30184459686279297,,0,0,0
2026-07-21T15:11:58.318,589086.7112989,exp_20260721_151151,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,c7223b40fb89051531d06117cdf34cb70bab96d0066ea240bce9913597b3a419,1,1,,,1784661118.318972,1784661118.4192636,0.10029149055480957,,0.10029149055480957,0,0,0
2026-07-21T15:12:00.088,589088.4811231,exp_20260721_151151,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784661120.0888166,1784661120.0892518,0.00043511390686035156,,,0,0,0
