ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T16:56:46.925,249777.0812884,exp_20260717_165637,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784321806.9252343,1784321806.9256353,0.0004010200500488281,,,0,0,0
2026-07-17T16:56:46.934,249777.090592,exp_20260717_165637,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8903087377548218,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784321806.934547,1784321808.468442,1.5338950157165527,1.5338950157165527,,0,0,0
2026-07-17T16:56:48.469,249778.6257542,exp_20260717_165637,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f731abafe4fab354557c2aae79264acfd2eb4b33a38ca91069b355e5a0e4e120,1,1,,,1784321808.4697292,1784321808.569963,0.10023379325866699,,0.10023379325866699,0,0,0
2026-07-17T16:56:52.274,249782.4303708,exp_20260717_165637,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784321812.2743227,1784321812.2746334,0.00031065940856933594,,,0,0,0
2026-07-17T16:56:52.275,249782.4316843,exp_20260717_165637,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9119729399681091,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784321812.2756193,1784321812.5727334,0.29711413383483887,0.29711413383483887,,0,0,0
2026-07-17T16:56:52.573,249782.7299434,exp_20260717_165637,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,1704c67606c01d585ab78a27655a5e38ebe6e5eef9c52c6df07022009a0abd8f,1,1,,,1784321812.5739212,1784321812.6743298,0.10040855407714844,,0.10040855407714844,0,0,0
2026-07-17T16:56:54.236,249784.3931287,exp_20260717_165637,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784321814.2371094,1784321814.2374613,0.00035190582275390625,,,0,0,0
2026-07-17T16:56:54.238,249784.394902,exp_20260717_165637,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8219407796859741,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784321814.2390063,1784321814.5333078,0.29430150985717773,0.29430150985717773,,0,0,0
2026-07-17T16:56:54.534,249784.6905445,exp_20260717_165637,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,309b921b3b7c1c8cb7f029ffa5cf619b70c3d4363543f97f6c23df381b1dc2b2,1,1,,,1784321814.5345345,1784321814.6350336,0.10049915313720703,,0.10049915313720703,0,0,0
2026-07-17T16:56:56.275,249786.4318772,exp_20260717_165637,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784321816.2758322,1784321816.2761471,0.00031495094299316406,,,0,0,0
2026-07-17T16:56:56.276,249786.4331109,exp_20260717_165637,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8844485878944397,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784321816.277102,1784321816.5716696,0.2945675849914551,0.2945675849914551,,0,0,0
2026-07-17T16:56:56.572,249786.7287314,exp_20260717_165637,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,c41d00513d9dba8b57e32ddbdc3c78adfabb2c98cdcc6cd9cce6670e2728e32c,1,1,,,1784321816.5727286,1784321816.6729405,0.10021185874938965,,0.10021185874938965,0,0,0
2026-07-17T16:56:58.242,249788.3984655,exp_20260717_165637,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784321818.2424684,1784321818.2427886,0.00032019615173339844,,,0,0,0
2026-07-17T16:56:58.244,249788.4003469,exp_20260717_165637,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9180982112884521,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784321818.2444105,1784321818.5349655,0.2905550003051758,0.2905550003051758,,0,0,0
2026-07-17T16:56:58.535,249788.6920395,exp_20260717_165637,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,6066ef090877293f4543f23f6a3b0d56af56069f9563e0d2f901835166070823,1,1,,,1784321818.536039,1784321818.6366735,0.10063433647155762,,0.10063433647155762,0,0,0
