ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T17:21:46.637,596874.9915045,exp_20260721_172146,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668906.6378055,1784668906.6381748,0.0003693103790283203,,,0,0,0
2026-07-21T17:21:46.639,596874.9930864,exp_20260721_172146,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8247094750404358,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668906.6393971,1784668908.4195073,1.7801101207733154,1.7801101207733154,,0,0,0
2026-07-21T17:21:48.420,596876.7742684,exp_20260721_172146,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,86b83d0d581dc93b6111886d119beda31e67ea3a6350f65cc5c7af14ac177e57,1,1,,,1784668908.4206254,1784668908.5210679,0.10044240951538086,,0.10044240951538086,0,0,0
2026-07-21T17:21:50.849,596879.2034559,exp_20260721_172146,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668910.8500528,1784668910.8510628,0.0010099411010742188,,,0,0,0
2026-07-21T17:21:50.851,596879.2057685,exp_20260721_172146,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8750755190849304,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668910.8520553,1784668911.141947,0.28989171981811523,0.28989171981811523,,0,0,0
2026-07-21T17:21:51.142,596879.4964759,exp_20260721_172146,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9f1e89160b8b7e2def0b8a224d2fb0f3768d643250bc9a5bd651f34cbd433f36,1,1,,,1784668911.142814,1784668911.243295,0.10048103332519531,,0.10048103332519531,0,0,0
2026-07-21T17:21:52.961,596881.3149239,exp_20260721_172146,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668912.961366,1784668912.9618816,0.0005156993865966797,,,0,0,0
2026-07-21T17:21:52.963,596881.3171802,exp_20260721_172146,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.799119234085083,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668912.9635344,1784668913.2549217,0.29138731956481934,0.29138731956481934,,0,0,0
2026-07-21T17:21:53.255,596881.6097081,exp_20260721_172146,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e2d4fc91c9d76dadcc49d2c7d3940e2b25e550f0f1d2c3b8772882314cce7b3e,1,1,,,1784668913.2560713,1784668913.3563504,0.10027909278869629,,0.10027909278869629,0,0,0
2026-07-21T17:21:54.820,596883.174835,exp_20260721_172146,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668914.821442,1784668914.822441,0.0009992122650146484,,,0,0,0
2026-07-21T17:21:54.823,596883.1773219,exp_20260721_172146,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8499663472175598,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668914.8236217,1784668915.1239996,0.30037784576416016,0.30037784576416016,,0,0,0
2026-07-21T17:21:55.124,596883.4785659,exp_20260721_172146,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,be61b233fe232428a273bfcc3f3d807decd42e350d103edad70e0dc44ff9f978,1,1,,,1784668915.1249216,1784668915.2251801,0.10025858879089355,,0.10025858879089355,0,0,0
2026-07-21T17:21:56.874,596885.2283121,exp_20260721_172146,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668916.8747354,1784668916.8751981,0.0004627704620361328,,,0,0,0
2026-07-21T17:21:56.876,596885.2302817,exp_20260721_172146,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9251338243484497,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668916.8766284,1784668917.1485033,0.27187490463256836,0.27187490463256836,,0,0,0
2026-07-21T17:21:57.149,596885.5030449,exp_20260721_172146,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b1493be2eb21b02bda783ea8457bbd4bc0a36b25ea5b76bc4c59be372c50c5c4,1,1,,,1784668917.1493936,1784668917.2499595,0.10056591033935547,,0.10056591033935547,0,0,0
2026-07-21T17:21:58.963,596887.3174488,exp_20260721_172146,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784668918.9640346,1784668918.9649322,0.0008976459503173828,,,0,0,0
2026-07-21T17:21:58.967,596887.321401,exp_20260721_172146,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.2649248838424683,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784668918.9679585,1784668919.2563612,0.288402795791626,0.288402795791626,,0,0,0
2026-07-21T17:21:59.257,596887.610894,exp_20260721_172146,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,092c97aac0e7028794a694905c9e57c71da928ce878390af6f2626eee0878762,1,1,,,1784668919.2572587,1784668919.3574605,0.10020184516906738,,0.10020184516906738,0,0,0
