ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-17T15:10:26.973,243397.1575589,exp_20260717_151017,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784315426.9744012,1784315426.9755175,0.0011162757873535156,,,0,0,0
2026-07-17T15:10:26.979,243397.1632211,exp_20260717_151017,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8394405245780945,0.296875,0.16569767441860467,0.296875,0.2126865671641791,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784315426.9798832,1784315428.5179882,1.5381050109863281,1.5381050109863281,,0,0,0
2026-07-17T15:10:28.519,243398.702742,exp_20260717_151017,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,f4c2e18800456c60cfcbae499a3171ea24c95167779d6a6279fbc5cbc88819ab,1,1,,,1784315428.5192833,1784315428.6196122,0.10032892227172852,,0.10032892227172852,0,0,0
2026-07-17T15:10:31.065,243401.2489121,exp_20260717_151017,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784315431.0657277,1784315431.0664022,0.0006744861602783203,,,0,0,0
2026-07-17T15:10:31.067,243401.2511619,exp_20260717_151017,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8740882873535156,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784315431.06786,1784315431.3699076,0.3020477294921875,0.3020477294921875,,0,0,0
2026-07-17T15:10:31.370,243401.5544898,exp_20260717_151017,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d8a7468a04b94bbd668e3f0c850a084f0cf597c68b04b19977b9a13956f05334,1,1,,,1784315431.3710232,1784315431.4712117,0.1001884937286377,,0.1001884937286377,0,0,0
2026-07-17T15:10:33.100,243403.2837042,exp_20260717_151017,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784315433.1005764,1784315433.101712,0.0011355876922607422,,,0,0,0
2026-07-17T15:10:33.103,243403.287392,exp_20260717_151017,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.881398856639862,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784315433.103941,1784315433.404765,0.3008239269256592,0.3008239269256592,,0,0,0
2026-07-17T15:10:33.405,243403.5893348,exp_20260717_151017,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,8b4e41b7d5b2c1a926f6bc60902c99eaebfcd52cf963b87b2e3047e995543d1e,1,1,,,1784315433.4058826,1784315433.506079,0.10019636154174805,,0.10019636154174805,0,0,0
2026-07-17T15:10:35.085,243405.2691107,exp_20260717_151017,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784315435.08564,1784315435.0859568,0.00031685829162597656,,,0,0,0
2026-07-17T15:10:35.086,243405.2704628,exp_20260717_151017,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8889082670211792,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784315435.0871453,1784315435.3953047,0.30815935134887695,0.30815935134887695,,0,0,0
2026-07-17T15:10:35.396,243405.5796629,exp_20260717_151017,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,d685aa9cf4be599dbd50c4402c38bcc6a08c3d9f4fbf6750551db1afd8fb1a94,1,1,,,1784315435.3962178,1784315435.4965887,0.10037088394165039,,0.10037088394165039,0,0,0
2026-07-17T15:10:37.251,243407.4353669,exp_20260717_151017,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784315437.2523112,1784315437.253402,0.0010907649993896484,,,0,0,0
2026-07-17T15:10:37.255,243407.4386406,exp_20260717_151017,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8752033114433289,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784315437.2551782,1784315437.5527477,0.29756951332092285,0.29756951332092285,,0,0,0
2026-07-17T15:10:37.553,243407.7372534,exp_20260717_151017,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b6ac701ed433a49426b6443344aae6e2d28d8418426a00f0fe09ade58e366459,1,1,,,1784315437.5538294,1784315437.6540456,0.10021615028381348,,0.10021615028381348,0,0,0
