ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T16:27:57.582,420846.8297424,exp_20260719_162748,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784492877.582815,1784492877.5832627,0.0004477500915527344,,,0,0,0
2026-07-19T16:27:57.591,420846.8388292,exp_20260719_162748,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.809576392173767,0.265625,0.07589285714285714,0.265625,0.11805555555555555,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784492877.5918853,1784492879.1247063,1.5328209400177002,1.5328209400177002,,0,0,0
2026-07-19T16:27:59.125,420848.3725099,exp_20260719_162748,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,e76fd8ddb1ff298dca491bf8dd5012c9817318527046923f6007d12283f9b23d,1,1,,,1784492879.1255355,1784492879.2258155,0.1002800464630127,,0.1002800464630127,0,0,0
2026-07-19T16:28:01.847,420851.0950079,exp_20260719_162748,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784492881.8483605,1784492881.8495207,0.0011601448059082031,,,0,0,0
2026-07-19T16:28:01.852,420851.0993521,exp_20260719_162748,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8627774119377136,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784492881.8526883,1784492882.1567044,0.30401611328125,0.30401611328125,,0,0,0
2026-07-19T16:28:02.157,420851.4046139,exp_20260719_162748,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,51bcf45293477fec8e207f4c9fd856d7839366ffed3a698ffdd57a652038232f,1,1,,,1784492882.157712,1784492882.2580457,0.10033369064331055,,0.10033369064331055,0,0,0
2026-07-19T16:28:03.866,420853.1135145,exp_20260719_162748,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784492883.8666604,1784492883.8671699,0.0005095005035400391,,,0,0,0
2026-07-19T16:28:03.868,420853.1157378,exp_20260719_162748,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9460683465003967,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784492883.8689275,1784492884.168227,0.2992994785308838,0.2992994785308838,,0,0,0
2026-07-19T16:28:04.169,420853.4162824,exp_20260719_162748,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,b9e65f05b42c8a966fce5276143f15151f684744c276ac1f4a0da15123b6b4b7,1,1,,,1784492884.1693845,1784492884.2700007,0.1006162166595459,,0.1006162166595459,0,0,0
2026-07-19T16:28:05.924,420855.1715907,exp_20260719_162748,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784492885.9250095,1784492885.92601,0.0010004043579101562,,,0,0,0
