ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-21T15:59:03.107,591911.4830707,exp_20260721_155510,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663943.1077456,1784663943.1093743,0.0016286373138427734,,,0,0,0
2026-07-21T15:59:03.118,591911.4945136,exp_20260721_155510,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8254939913749695,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663943.119039,1784663944.6780543,1.5590152740478516,1.5590152740478516,,0,0,0
2026-07-21T15:59:04.678,591913.0547653,exp_20260721_155510,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,55c9ecac0b192a8e548d0a1164a4648ae7c39af77289722d6df3da321e80e587,1,1,,,1784663944.679125,1784663944.7793727,0.10024762153625488,,0.10024762153625488,0,0,0
2026-07-21T15:59:15.624,591924.0000784,exp_20260721_155510,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663955.6247733,1784663955.6254601,0.0006868839263916016,,,0,0,0
2026-07-21T15:59:15.626,591924.0020299,exp_20260721_155510,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.891529619693756,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663955.6263673,1784663955.9078522,0.28148484230041504,0.28148484230041504,,0,0,0
2026-07-21T15:59:15.908,591924.2846201,exp_20260721_155510,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,47948c2b6ba2832a2c804fb0cdd2790c639bdd7c322010984fc3bd25f3d1024b,1,1,,,1784663955.909049,1784663956.0093572,0.10030817985534668,,0.10030817985534668,0,0,0
2026-07-21T15:59:26.548,591934.9246419,exp_20260721_155510,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663966.5490801,1784663966.5493827,0.0003025531768798828,,,0,0,0
2026-07-21T15:59:26.550,591934.9259765,exp_20260721_155510,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.0259754061698914,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663966.5503633,1784663966.834762,0.28439879417419434,0.28439879417419434,,0,0,0
2026-07-21T15:59:26.835,591935.211507,exp_20260721_155510,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9d154c550985a6ecc29b4e8179ca1a6e53b42c794794b4e65f7561c2c49bb97e,1,1,,,1784663966.835977,1784663966.9364448,0.10046768188476562,,0.10046768188476562,0,0,0
2026-07-21T15:59:34.566,591942.9424232,exp_20260721_155510,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663974.5669014,1784663974.5672207,0.0003192424774169922,,,0,0,0
2026-07-21T15:59:34.568,591942.9437169,exp_20260721_155510,4,4,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9908207058906555,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663974.5681362,1784663974.8588426,0.2907063961029053,0.2907063961029053,,0,0,0
2026-07-21T15:59:34.859,591943.235495,exp_20260721_155510,4,4,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,955dd10334b64905c0575463d6a96382dc0e681125b3dfe7c9a3c32a1cf17c1e,1,1,,,1784663974.8600137,1784663974.9604926,0.1004788875579834,,0.1004788875579834,0,0,0
2026-07-21T15:59:44.559,591952.9355303,exp_20260721_155510,4,5,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663984.560367,1784663984.5607805,0.0004134178161621094,,,0,0,0
2026-07-21T15:59:44.561,591952.9372193,exp_20260721_155510,4,5,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9546297788619995,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663984.5616903,1784663984.84628,0.2845897674560547,0.2845897674560547,,0,0,0
2026-07-21T15:59:44.847,591953.2227493,exp_20260721_155510,4,5,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,892d4b568f0d33be7fe065f02957a946cdedd87504fa8ca87c4f0bbfc6533ab3,1,1,,,1784663984.8473024,1784663984.9477384,0.10043597221374512,,0.10043597221374512,0,0,0
2026-07-21T15:59:55.151,591963.5271346,exp_20260721_155510,4,6,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784663995.1516929,1784663995.1519978,0.00030493736267089844,,,0,0,0
2026-07-21T15:59:55.152,591963.5285245,exp_20260721_155510,4,6,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9218892455101013,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784663995.1530852,1784663995.45309,0.3000047206878662,0.3000047206878662,,0,0,0
2026-07-21T15:59:55.453,591963.8294522,exp_20260721_155510,4,6,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7c349ff845999c17eaa36a88095bdf8cd5dd0538b3365309db01c7e4c494634d,1,1,,,1784663995.4540796,1784663995.5547292,0.10064959526062012,,0.10064959526062012,0,0,0
2026-07-21T16:00:05.077,591973.4534493,exp_20260721_155510,4,7,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784664005.078338,1784664005.0786233,0.0002853870391845703,,,0,0,0
2026-07-21T16:00:05.079,591973.4549878,exp_20260721_155510,4,7,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.2001829147338867,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784664005.0795524,1784664005.3648899,0.2853374481201172,0.2853374481201172,,0,0,0
2026-07-21T16:00:05.365,591973.7411675,exp_20260721_155510,4,7,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,9e957fad83c438f325236498665124748a70ef497a3073a50cd57fd3b9fbe8e6,1,1,,,1784664005.3657997,1784664005.4661636,0.10036396980285645,,0.10036396980285645,0,0,0
