ts_wall,ts_mono,experiment_id,client_id,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-19T14:22:18.100,413307.3875248,exp_20260719_142208,4,1,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784485338.1008494,1784485338.1012802,0.00043082237243652344,,,0,0,0
2026-07-19T14:22:18.108,413307.3953598,exp_20260719_142208,4,1,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8337560892105103,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784485338.1087286,1784485339.6476054,1.5388767719268799,1.5388767719268799,,0,0,0
2026-07-19T14:22:19.648,413308.9352745,exp_20260719_142208,4,1,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,88a79fd79313c1e3d1cea5c530714fed7c01e742f5bca3d0a435dee08091bc4a,1,1,,,1784485339.6486282,1784485339.7489123,0.10028409957885742,,0.10028409957885742,0,0,0
2026-07-19T14:22:22.218,413311.5056104,exp_20260719_142208,4,2,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784485342.2192733,1784485342.2196338,0.0003604888916015625,,,0,0,0
2026-07-19T14:22:22.220,413311.5074616,exp_20260719_142208,4,2,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8443170189857483,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784485342.2208066,1784485342.5203145,0.29950785636901855,0.29950785636901855,,0,0,0
2026-07-19T14:22:22.521,413311.8081104,exp_20260719_142208,4,2,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,98c4a829f0c05b4924712e0e062af49537e783e7081643e3412b9d8ec8b35cf5,1,1,,,1784485342.5214844,1784485342.6221535,0.10066914558410645,,0.10066914558410645,0,0,0
2026-07-19T14:22:24.004,413313.2914196,exp_20260719_142208,4,3,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784485344.005109,1784485344.0061998,0.0010907649993896484,,,0,0,0
2026-07-19T14:22:24.007,413313.2943038,exp_20260719_142208,4,3,fit,Train the local model and compute evaluation metrics on the client test set.,client_fit_plus_evaluation_timing,"This row records the full fit window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7636425495147705,0.0,0.0,0.0,0.0,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,253,,1784485344.007623,1784485344.295189,0.2875659465789795,0.2875659465789795,,0,0,0
2026-07-19T14:22:24.296,413313.5829363,exp_20260719_142208,4,3,upload,Serialize updated parameters for return to the server.,client_upload_phase_timing,"This row records client side parameter serialisation. The actual Flower transmission happens after fit returns, so network counters may under represent the full outbound transfer.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,7333bade051a20773e458c11242976dab1a3163ce2f7496d487ce2c1a324a716,1,1,,,1784485344.2963078,1784485344.3969538,0.1006460189819336,,0.1006460189819336,0,0,0
2026-07-19T14:22:25.934,413315.2216622,exp_20260719_142208,4,4,download,Receive global model and load parameters into the local model.,client_download_phase_timing,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts, so this is not a packet level receive burst capture.",,,,,,10.42.0.18,10.42.0.195,10.42.0.195,8080,,1,,,,1784485345.9350767,1784485345.9355247,0.00044798851013183594,,,0,0,0
