component_run_id,component,experiment_id,run_id,condition,defense,attack,raw_attack,start_epoch_s,end_epoch_s,duration_s,client_ips,roles,files
analyzer:time_20260722_131031,analyzer,exp_1784740233,,exp1,,,,1784740233.3639328,1784741597.0853612,1363.7214283943176,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_decision_log_20260722_131031.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_events_20260722_131031.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_phase_log_20260722_131031.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_round_log_20260722_131031.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp1/analyzer_wire_upload_log_20260722_131031.csv
analyzer:time_20260722_133746,analyzer,exp_1784741867,,exp2,,,,1784741868.0157738,1784743139.9393897,1271.9236159324646,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_decision_log_20260722_133746.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_events_20260722_133746.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_phase_log_20260722_133746.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_round_log_20260722_133746.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/multi-krum/exp2/analyzer_wire_upload_log_20260722_133746.csv
analyzer:time_20260722_112608,analyzer,exp_1784733970,,exp1,,,,1784733970.57796,1784735438.869897,1468.2919368743896,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp1/analyzer_decision_log_20260722_112608.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp1/analyzer_events_20260722_112608.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp1/analyzer_phase_log_20260722_112608.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp1/analyzer_round_log_20260722_112608.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp1/analyzer_wire_upload_log_20260722_112608.csv
analyzer:time_20260722_115114,analyzer,exp_1784735477,,exp2,,,,1784735477.0152137,1784736945.9787283,1468.9635145664215,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp2/analyzer_decision_log_20260722_115114.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp2/analyzer_events_20260722_115114.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp2/analyzer_phase_log_20260722_115114.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp2/analyzer_round_log_20260722_115114.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/fedavg/exp2/analyzer_wire_upload_log_20260722_115114.csv
analyzer:time_20260722_140325,analyzer,exp_1784743407,,exp1,,,,1784743407.6290522,1784744583.624158,1175.9951057434082,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp1/analyzer_decision_log_20260722_140325.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp1/analyzer_events_20260722_140325.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp1/analyzer_phase_log_20260722_140325.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp1/analyzer_round_log_20260722_140325.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp1/analyzer_wire_upload_log_20260722_140325.csv
analyzer:time_20260722_142959,analyzer,exp_1784745001,,exp2,,,,1784745001.460695,1784746399.7632744,1398.3025794029236,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp2/analyzer_decision_log_20260722_142959.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp2/analyzer_events_20260722_142959.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp2/analyzer_phase_log_20260722_142959.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp2/analyzer_round_log_20260722_142959.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/median/exp2/analyzer_wire_upload_log_20260722_142959.csv
analyzer:time_20260722_165842,analyzer,exp_1784753925,,exp1,,,,1784753925.3700404,1784755430.2890067,1504.918966293335,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp1/analyzer_decision_log_20260722_165842.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp1/analyzer_events_20260722_165842.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp1/analyzer_phase_log_20260722_165842.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp1/analyzer_round_log_20260722_165842.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp1/analyzer_wire_upload_log_20260722_165842.csv
analyzer:time_20260722_163446,analyzer,exp_1784752488,,exp2,,,,1784752488.4168603,1784753721.1851776,1232.7683172225952,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp2/analyzer_decision_log_20260722_163446.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp2/analyzer_events_20260722_163446.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp2/analyzer_phase_log_20260722_163446.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp2/analyzer_round_log_20260722_163446.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/flame/exp2/analyzer_wire_upload_log_20260722_163446.csv
analyzer:time_20260722_121748,analyzer,exp_1784737070,,exp1,,,,1784737070.493851,1784738422.0566382,1351.5627872943878,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp1/analyzer_decision_log_20260722_121748.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp1/analyzer_events_20260722_121748.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp1/analyzer_phase_log_20260722_121748.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp1/analyzer_round_log_20260722_121748.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp1/analyzer_wire_upload_log_20260722_121748.csv
analyzer:time_20260722_124304,analyzer,exp_1784738586,,exp2,,,,1784738586.1771145,1784739923.905631,1337.7285165786743,10.42.0.145;10.42.0.18;10.42.0.195;10.42.0.210;10.42.0.47;10.42.0.59,analyzer_decision;analyzer_events;analyzer_phase;analyzer_round;analyzer_wire_upload,/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp2/analyzer_decision_log_20260722_124304.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp2/analyzer_events_20260722_124304.jsonl;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp2/analyzer_phase_log_20260722_124304.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp2/analyzer_round_log_20260722_124304.csv;/home/lawrence/Lawrence/FL_poison/Result/CNN/proxy/baseline/krum/exp2/analyzer_wire_upload_log_20260722_124304.csv
